,Xiaogan,Huanggang,Suizhou,Jingzhou,Xiangyang,Huangshi,Ezhou,Yichang,Jingmen,Xianning,Shiyan,Chongqing,Wenzhou,Xiantao,Shenzhen,Beijing,Guangzhou,Shanghai,Tianmen,Xinyang,Changsha,Nanchang,Enshi,Hangzhou,Ningbo,Hefei,Haerbin,Taizhou,Nanyang,Bengbu,Yueyang,Fuyang,Zhengzhou,Zhumadian,Chengdu,Shangrao,Xinyu,Xian,Tianjin,Jiujiang,Bozhou,Shaoyang,Qianjiang,Zhuhai,Shangqiu,Nanjing,Yichun,Anqing,Suzhou,Foshan
2020/1/1,13898,11159,2631,4462,2856,4172,6150,2149,2366,5535,1229,671,254,2466,922,1180,941,1211,1201,1282,1247,425,1172,503,229,432,128,113,401,47,457,177,697,361,436,63,21,404,254,387,55,67,953,105,126,391,122,184,370,185
2020/1/2,13593,11495,2773,4703,3125,4124,4910,2463,2709,4918,1400,757,299,2483,1331,1661,1132,1464,1239,1186,1733,558,1238,548,256,603,203,123,483,56,477,197,906,415,521,91,39,521,357,463,90,77,1096,141,178,632,118,217,541,308
2020/1/3,17044,13796,3499,6640,4556,5842,8278,3521,3802,6699,2075,1024,480,3299,1670,2330,1689,2117,1703,1438,2418,1035,1857,923,405,1034,221,247,664,123,654,270,1374,541,755,133,61,592,473,690,86,102,1611,216,267,869,188,256,768,388
2020/1/4,18594,15053,3419,6679,4332,6312,9525,3341,3586,7996,1862,1038,534,3467,1712,2359,1957,2023,1654,1769,2328,1007,1648,795,362,876,212,236,677,117,692,314,1371,543,868,101,67,782,500,674,72,81,1769,200,242,776,192,327,763,441
2020/1/5,21707,17022,4458,7662,5313,7517,11099,4349,4484,9911,2140,1177,481,3820,1920,2637,2071,2387,1971,2299,3007,944,1747,969,405,1024,183,211,572,101,807,354,1460,629,990,151,83,771,475,927,89,107,2014,233,188,943,186,392,818,421
2020/1/6,16580,13960,3429,6508,4188,6112,9524,3574,3417,8252,1922,1130,478,2960,1717,2836,1923,2280,1521,1901,2435,840,1499,979,509,923,232,229,532,80,766,282,1320,558,930,146,42,706,565,740,109,101,1430,173,148,835,173,278,836,482
2020/1/7,16147,13413,3107,6591,4546,5561,8615,3365,3319,7318,2225,1110,466,2786,1800,2910,2300,2512,1458,1798,2459,977,1639,922,458,976,253,252,479,75,680,272,1341,536,1073,149,29,809,543,689,102,97,1325,214,136,932,177,255,877,539
2020/1/8,16192,13843,2913,6866,4800,5962,8194,3415,3272,7461,2478,1250,621,2941,2021,3281,2306,2458,1550,1739,2560,1112,1785,1055,513,988,268,303,495,98,719,289,1527,590,1042,135,54,933,630,699,96,130,1479,202,153,870,192,296,913,581
2020/1/9,16341,14177,3092,8185,5044,6404,8463,3897,3725,7917,2804,1293,764,3007,2407,3782,2636,2805,1835,1775,2870,1168,2101,1139,597,1124,284,363,595,106,668,225,1608,557,1242,100,67,966,572,744,63,135,1535,263,207,1039,139,283,1136,636
2020/1/10,16396,14088,3116,8181,4748,6217,8137,3805,3595,8313,2541,1150,713,3081,1817,3260,2343,2507,1795,1678,2711,1118,2125,1045,594,1094,227,311,573,89,715,257,1596,566,1025,119,64,856,555,617,96,116,1474,219,197,930,144,294,1068,555
2020/1/11,18885,13825,3537,7434,4483,6105,8498,3734,3902,8008,2441,1072,692,3419,2257,3440,2640,2644,1962,1624,2831,1161,1718,1204,638,1130,250,253,562,81,748,250,1480,600,978,152,59,797,606,596,103,95,1570,185,192,1108,145,303,918,517
