name,Total,Used,Available,Date
1,240,185,55,2020/2/22
1,235,210,25,2020/2/22
1,251,204,47,2020/2/22
1,262,240,22,2020/2/22
1,600,297,303,2020/2/22
1,44,36,8,2020/2/22
1,300,266,34,2020/2/22
1,233,128,105,2020/2/22
1,820,390,430,2020/2/22
1,684,592,92,2020/2/21
1,122,133,0,2020/2/21
1,378,342,36,2020/2/21
1,504,396,108,2020/2/21
1,420,428,0,2020/2/21
1,268,248,20,2020/2/21
1,405,351,54,2020/2/21
1,400,318,82,2020/2/21
1,619,498,121,2020/2/21
1,152,101,51,2020/2/21
1,510,496,14,2020/2/21
1,600,533,67,2020/2/21
1,1050,1008,42,2020/2/21
1,810,741,69,2020/2/21
1,800,730,70,2020/2/21
1,950,496,454,2020/2/21
1,380,389,0,2020/2/21
1,500,375,125,2020/2/21
1,200,225,0,2020/2/21
1,305,268,37,2020/2/21
1,411,405,6,2020/2/21
1,200,225,0,2020/2/21
1,300,234,66,2020/2/21
1,288,189,99,2020/2/21
1,26,12,14,2020/2/21
1,371,286,85,2020/2/21
1,280,271,9,2020/2/21
1,1005,1005,0,2020/2/21
1,977,977,0,2020/2/21
1,226,216,10,2020/2/21
1,828,812,16,2020/2/21
1,255,162,93,2020/2/21
1,86,86,0,2020/2/21
1,135,121,14,2020/2/21
1,451,442,9,2020/2/21
1,1000,1056,0,2020/2/21
1,430,321,109,2020/2/21
1,900,876,24,2020/2/21
1,808,805,3,2020/2/21
1,263,185,78,2020/2/21
1,235,208,27,2020/2/21
1,251,251,0,2020/2/21
1,262,241,21,2020/2/21
1,350,323,27,2020/2/21
1,44,22,22,2020/2/21
1,300,289,11,2020/2/21
1,233,145,88,2020/2/21
1,750,170,580,2020/2/21
1,684,647,37,2020/2/20
1,122,139,0,2020/2/20
1,378,351,27,2020/2/20
1,504,408,96,2020/2/20
1,420,437,0,2020/2/20
1,268,262,6,2020/2/20
1,405,360,45,2020/2/20
1,400,368,32,2020/2/20
1,619,528,91,2020/2/20
1,152,107,45,2020/2/20
1,510,516,0,2020/2/20
1,600,541,59,2020/2/20
1,1050,993,57,2020/2/20
1,810,749,61,2020/2/20
1,800,760,40,2020/2/20
1,515,480,35,2020/2/20
1,370,380,0,2020/2/20
1,500,406,94,2020/2/20
1,400,394,6,2020/2/20
1,305,285,20,2020/2/20
1,411,391,20,2020/2/20
1,200,227,0,2020/2/20
1,300,258,42,2020/2/20
1,288,202,86,2020/2/20
1,26,12,14,2020/2/20
1,380,284,96,2020/2/20
1,280,280,0,2020/2/20
1,1002,1002,0,2020/2/20
1,980,980,0,2020/2/20
1,226,205,21,2020/2/20
1,828,827,1,2020/2/20
1,255,154,101,2020/2/20
1,87,87,0,2020/2/20
1,135,136,0,2020/2/20
1,452,447,5,2020/2/20
1,1000,1074,0,2020/2/20
1,404,332,72,2020/2/20
1,900,822,78,2020/2/20
1,808,803,5,2020/2/20
1,225,180,45,2020/2/20
1,233,209,24,2020/2/20
1,181,181,0,2020/2/20
1,262,237,25,2020/2/20
1,350,323,27,2020/2/20
1,44,20,24,2020/2/20
1,300,289,11,2020/2/20
1,233,153,80,2020/2/20
1,387,87,300,2020/2/20
1,684,688,0,2020/2/19
1,122,141,0,2020/2/19
1,378,364,14,2020/2/19
1,504,431,73,2020/2/19
1,420,460,0,2020/2/19
1,268,254,14,2020/2/19
1,405,378,27,2020/2/19
1,400,352,48,2020/2/19
1,619,553,66,2020/2/19
1,152,109,43,2020/2/19
1,510,536,0,2020/2/19
1,600,577,23,2020/2/19
1,1050,1022,28,2020/2/19
1,810,736,74,2020/2/19
1,800,780,20,2020/2/19
1,515,469,46,2020/2/19
1,370,379,0,2020/2/19
1,500,430,70,2020/2/19
1,410,408,2,2020/2/19
1,305,293,12,2020/2/19
1,411,362,49,2020/2/19
1,200,219,0,2020/2/19
1,300,254,46,2020/2/19
1,288,137,151,2020/2/19
