,Xiaogan,Huanggang,Suizhou,Jingzhou,Xiangyang,Huangshi,Ezhou,Yichang,Jingmen,Xianning,Shiyan,Chongqing,Wenzhou,Xiantao,Shenzhen,Beijing,Guangzhou,Shanghai,Tianmen,Xinyang,Changsha,Nanchang,Enshi,Hangzhou,Ningbo,Hefei,Haerbin,Taizhou,Nanyang,Bengbu,Yueyang,Fuyang,Zhengzhou,Zhumadian,Chengdu,Shangrao,Xinyu,Xian,Tianjin,Jiujiang,Bozhou,Shaoyang,Qianjiang,Zhuhai,Shangqiu,Nanjing,Yichun,Anqing,Suzhou,Foshan
2020/1/1,18063,13862,3123,5703,3497,4700,7315,2459,2995,6377,1616,909,154,3245,889,1375,861,1116,1519,1183,1446,615,1362,528,192,543,153,93,444,60,518,251,667,506,466,133,34,389,223,574,81,88,1120,102,190,446,164,334,371,181
2020/1/2,11815,11541,3221,6255,4137,4215,4500,3054,3154,5161,2128,1258,274,2331,1184,2070,1316,1472,1652,1257,1792,792,2127,722,268,718,229,142,519,77,562,381,931,633,773,239,51,603,278,584,111,131,1302,157,255,654,213,384,521,294
2020/1/3,22534,19392,4840,9400,6115,7538,10133,4779,4937,10201,2841,1760,312,4365,1436,2694,1670,2045,2547,2004,3067,915,2567,978,382,1107,287,164,718,122,892,433,1345,924,941,249,95,726,407,995,154,136,2232,231,355,895,285,521,636,404
2020/1/4,25160,22637,5155,10242,6688,7165,11170,4916,5382,11723,3552,1969,309,4846,1507,2668,1496,2150,3052,2026,2824,1039,3528,894,367,979,313,205,838,148,896,441,1405,942,1102,275,97,796,526,1064,173,186,2072,231,376,924,319,654,700,373
2020/1/5,19959,17489,4193,8829,6147,6491,8934,4228,4572,8540,3228,1873,315,3657,1802,3637,1689,2613,2348,1791,2528,1127,2823,1100,417,1215,274,220,846,127,772,436,1545,845,1145,257,81,917,532,838,158,149,1914,234,351,1007,317,476,730,427
2020/1/6,19090,18883,4418,9542,6982,6412,9046,4753,4548,8748,3429,2133,330,3980,1545,3662,1621,2303,2474,1769,2804,1184,3366,942,392,1123,313,217,852,133,841,488,1593,915,1205,285,144,946,536,857,131,200,1850,292,415,1078,315,544,700,399
2020/1/7,21128,21386,5056,11531,8470,7333,9100,5719,5427,9382,4048,2453,410,4580,1606,3840,1866,2582,3158,2157,3128,1158,4017,967,404,1173,406,246,967,173,941,593,1726,1052,1439,354,104,966,538,1013,182,214,2294,258,466,1029,398,642,742,409
2020/1/8,23598,24414,5890,13506,9813,8101,9221,6460,6259,11227,4244,2897,513,5208,1782,4162,2107,2864,3645,2513,3361,1205,4799,1099,514,1348,462,338,1241,150,1039,640,1930,1238,1578,418,75,1130,701,1157,248,306,2467,276,531,1179,459,860,772,441
2020/1/9,27626,27719,6677,14615,10437,8633,9891,6982,6800,11737,4766,3674,565,5869,1934,3769,1878,2795,3892,2940,3606,1400,5766,1059,549,1465,533,292,1455,208,1129,797,2013,1558,1832,505,113,1237,701,1265,264,434,2971,336,664,1278,632,995,861,481
2020/1/10,22375,21516,5171,11746,8431,6997,8433,6302,5833,10689,4148,3040,464,4880,1565,3350,1752,2432,3021,2415,3470,1165,4345,909,457,1388,383,250,1172,160,1018,643,1844,1212,1462,379,66,1063,612,1090,234,324,2250,309,424,1236,418,733,719,396
2020/1/11,30349,27439,6344,13793,9156,8898,10587,7562,6886,13899,4323,2821,432,6575,1461,2721,1458,2281,4121,2918,3635,1156,4500,915,408,1335,457,268,1074,124,1177,605,1908,1075,1498,390,103,1014,528,1495,205,326,2663,255,477,1060,447,1031,693,406
2020/1/12,25851,21472,5103,11020,7041,7187,9284,5303,5235,10223,3608,2573,335,5390,1180,2331,1174,1636,3858,2166,2578,931,4058,615,349,956,423,220,1067,106,946,539,1526,993,1406,323,74,831,424,917,175,244,2468,253,399,782,365,637,513,312
2020/1/13,21416,20263,4749,10315,6631,6592,8495,4912,4915,8800,3146,2381,378,4744,1266,2565,1234,2003,3158,2095,2789,1072,3263,766,288,1054,344,209,1096,129,861,566,1507,1053,1206,325,70,834,405,889,165,246,2099,190,498,849,399,670,485,314
2020/1/14,21247,21150,4526,9847,6204,6226,7361,4096,4600,8386,2792,2422,330,4379,988,2407,1056,1753,3285,2393,2486,1009,3189,655,239,948,289,181,977,125,876,624,1414,1138,1026,293,69,713,290,911,184,282,1758,195,560,771,435,762,408,262
2020/1/15,23981,24266,5152,11013,6286,6726,7488,4299,5153,9306,2923,2822,405,5262,998,2373,969,1672,3608,2704,2227,1018,3281,623,198,913,340,181,1168,113,918,649,1402,1488,1043,316,57,668,413,1141,262,301,1852,206,623,645,511,938,437,195
2020/1/16,23300,24737,5360,11119,6382,7115,7503,4596,5209,9206,2787,2699,396,5191,960,2384,982,1722,3844,3033,2191,1038,3335,619,246,889,350,204,1353,106,947,647,1465,1484,1066,351,61,755,384,1142,211,320,1926,229,713,599,652,966,432,223
2020/1/17,24990,28270,5944,11799,7137,7850,8421,4977,5474,10087,3119,2626,455,5494,957,2132,918,1600,3889,3248,2260,991,3466,561,208,935,385,319,1541,124,1011,698,1361,1453,1004,410,74,733,314,1211,248,416,2032,260,732,642,740,1178,463,236
2020/1/18,31300,35415,7418,14988,8657,10038,10460,6070,7057,12248,3937,3037,575,6939,990,1751,947,1448,5015,3230,2438,1107,4293,663,224,965,406,302,1667,156,1290,821,1498,1629,1102,494,80,783,352,1377,288,537,2467,231,829,669,763,1365,439,187
2020/1/19,33098,28090,7344,15852,8720,8572,8938,6152,7569,11337,4219,2966,567,7033,995,1572,1022,1281,5327,3323,1825,1113,3982,478,214,781,419,301,1653,153,1190,842,1176,1576,1042,430,85,782,334,1198,309,506,2379,255,880,501,705,1039,364,179
2020/1/20,36515,31944,8687,18714,10486,9496,9053,7580,9210,12199,5073,3281,728,7974,1026,1449,1036,1183,6231,4037,1925,1117,4797,447,194,772,428,317,2112,193,1223,1111,1341,1862,950,433,100,753,302,1251,359,583,3017,269,1110,552,759,1113,329,233
